GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lakicraft,com.example.lakicraft.dto,MessageDTO,393,0,70,0,19,0,56,0,21,0
lakicraft,com.example.lakicraft.dto,OrderItemDTO,194,0,32,0,7,0,30,0,14,0
lakicraft,com.example.lakicraft.dto,OrderDTO,393,0,64,0,26,0,54,0,22,0
lakicraft,com.example.lakicraft,WebConfig,0,64,0,0,0,10,0,3,0,3
lakicraft,com.example.lakicraft,LakicraftApplication,5,3,0,0,2,1,1,1,1,1
lakicraft,com.example.lakicraft,SecurityConfig,0,38,0,0,0,9,0,5,0,5
lakicraft,com.example.lakicraft,ServletInitializer,12,0,0,0,2,0,2,0,2,0
lakicraft,com.example.lakicraft.model,PaintMessage,42,6,0,0,7,3,12,1,12,1
lakicraft,com.example.lakicraft.model,Message,42,6,0,0,6,3,12,1,12,1
lakicraft,com.example.lakicraft.model,stock,3,0,0,0,1,0,1,0,1,0
lakicraft,com.example.lakicraft.model,ContactRequest,24,0,0,0,10,0,7,0,7,0
lakicraft,com.example.lakicraft.model,Stats,24,0,0,0,10,0,7,0,7,0
lakicraft,com.example.lakicraft.model,Product,10,73,0,0,4,31,3,20,3,20
lakicraft,com.example.lakicraft.model,OrderStatus,14,3,0,0,3,1,4,1,4,1
lakicraft,com.example.lakicraft.model,OrderItem,3,35,0,0,1,6,1,10,1,10
lakicraft,com.example.lakicraft.model,LacquerOrder,86,3,4,0,14,1,23,1,21,1
lakicraft,com.example.lakicraft.model,Orders,22,44,0,0,6,5,7,12,7,12
lakicraft,com.example.lakicraft.model,Sale,7,56,0,0,3,24,2,12,2,12
lakicraft,com.example.lakicraft.model,User,12,87,0,0,2,14,3,25,3,25
lakicraft,com.example.lakicraft.model,Appointment,35,3,0,0,6,1,10,1,10,1
lakicraft,com.example.lakicraft.model,BusinessCard,37,27,0,0,15,11,11,6,11,6
lakicraft,com.example.lakicraft.service,UserService,0,97,0,8,0,21,0,11,0,7
lakicraft,com.example.lakicraft.service,EmailService,0,36,0,0,0,12,0,2,0,2
lakicraft,com.example.lakicraft.service,PasswordService,5,60,0,0,0,16,1,7,1,7
lakicraft,com.example.lakicraft.controller.exception,GlobalExceptionHandler,20,3,0,0,4,1,1,1,1,1
lakicraft,com.example.lakicraft.controller,BusinessCardController,228,6,36,0,49,1,26,1,8,1
lakicraft,com.example.lakicraft.controller,MessageController,106,3,12,0,27,1,9,1,3,1
lakicraft,com.example.lakicraft.controller,PaintMessageController,104,12,4,0,18,5,8,1,6,1
lakicraft,com.example.lakicraft.controller,ProductController,266,43,30,4,68,11,23,3,6,3
lakicraft,com.example.lakicraft.controller,EmailController,52,7,4,0,11,2,3,2,1,2
lakicraft,com.example.lakicraft.controller,AccountController.AdminController,23,9,2,0,6,4,2,1,1,1
lakicraft,com.example.lakicraft.controller,OrderItemController,24,3,2,0,4,1,2,1,1,1
lakicraft,com.example.lakicraft.controller,LacquerController,25,9,0,0,9,4,4,1,4,1
lakicraft,com.example.lakicraft.controller,AccountController,38,3,4,0,9,1,4,1,2,1
lakicraft,com.example.lakicraft.controller,LacquerOrderController,246,6,18,0,51,3,22,1,13,1
lakicraft,com.example.lakicraft.controller,OrderController,281,152,16,8,66,32,23,4,12,3
lakicraft,com.example.lakicraft.controller,AdminStatsController.StatusUpdateRequest,10,0,0,0,3,0,3,0,3,0
lakicraft,com.example.lakicraft.controller,AppointmentController,148,13,12,0,36,5,12,2,6,2
lakicraft,com.example.lakicraft.controller,UserController,332,64,18,4,76,15,20,5,11,3
lakicraft,com.example.lakicraft.controller,StatsController,148,3,0,0,30,1,6,1,6,1
lakicraft,com.example.lakicraft.controller,SaleController,5,3,0,0,1,1,1,1,1,1
lakicraft,com.example.lakicraft.controller,AdminStatsController,96,18,4,0,19,7,6,1,4,1
